id|title|starring|writer|editor|
0|The Silver Lining|Gayne Whitman|||
1||Arthur Christopher Orme Plummer Karen Blanche Ziegler|||
2|Kannathil Muthamittal|Nandita Das Rishibala Naval Prakash Raj Madhavan Ranganathan P. S. Keerthana Mincha|Mani Ratnam Sujatha||
3|Zeb vs. Paprika|Arthur Stanley Jefferson|Al Giebler||
4|Thinner|Lucinda Jenney Kari Wuhrer Joseph Anthony Mantegna, Jr. Constantine Joanides Bethany Joy Lenz Robert John Burke|Michael McDowell Tom Holland Stephen King||
5|American Ninja 2: The Confrontation|Michael Dudikoff Michelle Botes Gary Conway Steve James Larry Poindexter Jeff Weston|Avi Kleinberger Gideon Amir David Geeves Gary Conway||
6||Poonam Dhillon Harihar Jariwala Rakhee Gulzar Amitabh Bachchan Balbir Raj Kapoor|Salim Khan Javed Akhtar||
7|Slipping Wives|Herbert Rawlinson Priscilla Dean Albert Conti Arthur Stanley Jefferson Oliver Hardy|Harry Eugene Roach H.M. Walker||
8||Madhur Jaffrey Zohra Sehgal Barry Foster (actor) Michael Hugh Johnson  Rita Tushingham Aparna Sen Saeed Jaffrey Utpal Dutt|Ruth Prawer Jhabvala James Francis Ivory||
9||Genelia D'Souza Hrishitaa Bhatt Nitin Krishnam Raju|N. Shankar||
10|Reunion in France|Marion Robert Morrison Lucille Fay LeSueur Phillip Dorn|Marc Connelly Jan Lustig Leslie Bush-Fekete Marvin Borowsky||
11|It Happened Here|Reginald Marsh (actor) Bart Allison Pauline Murray Sebastian Lewis Shaw|Kevin Brownlow Andrew Mollo||
12||Kamal Haasan|||
13||Tom Laughlin (actor)|Delores Taylor Tom Laughlin (actor)||
14|Inferno|Daria Nicolodi Irene Miracle Alida Maria Laura von Altenburger Eleonora Giorgi Leigh McCloskey|Dario Argento||
15|Lebenszeichen|Wolfgang Reichmann Wolfgang von Ungern-Sternberg Athina Zacharopoulou Peter Brogle|Werner Herzog||
16|The Warrens of Virginia|Sarah Blanche Sweet|William Churchill DeMille||
17||Robert John Wagner May Britt Robert Mitchum|James Salter Wendell Mayes||
18|Abbott and Costello Go to Mars|Lou Costello Dudley Dickerson William Alexander Abbott Mari Blanchard|John Grant (screenwriter) D.D. Beauchamp Howard Christie||
19||Mary William Ethelbert Appleton Burke Fania Borach Frances Ethel Gumm|Florence Ryerson Edgar Allan Woolf||
20|The Sixth Man|Kadeem Hardison Marlon Wayans|Christopher Reed Cynthia Carle||
21|Academy Award for Documentary Feature||||
